id,name,features
75407,R******* at C*****,2|Bandung|Hotel|Bandung
78618,A***** H****,2|Pangkalan Bun|Hotel|Pangkalan Bun
71721,H**** S**** 1 L****,1|Lahat|Hotel|Lahat City Center
85532,R******* @ F**** S*** K*****,2|Kupang|Guest House|Kelapa Lima
72914,S**** O** 9**** P**** R******** S******,2|Jakarta|Bed & breakfast|West Jakarta
83690,B*** D****** E******,4|Bali|Villa|Denpasar
80857,D A**** S*** a** S*** C*****,3|Bali|Hotel|Canggu
79634,D** H******* S****** R********* @ K************* S*******,2|Surabaya|Hotel|Surabaya
83791,P**** K***** L***** R*****,4|Bali|Resort|Nusa Lembongan
72771,W**** S**** P**** P****** R*********,1|Jakarta|Hotel|Ancol - North Jakarta
74869,S**** B***** C*******,3|Bekasi|Hotel|Cibitung
82040,A*** K*** K****** P**** S******** 18 B***,0|Bali|Hotel|Kuta
77234,A*** U** S****** E 1** Y*********,0|Yogyakarta|Hotel|Yogyakarta
73035,R******** A******** G**** L*** V*** C****** - M** Y*** R**** T**** E,1|Tangerang|Hotel|Ciputat
84695,R******* P*** @ S***** S***** S********,3|Samarinda|Hotel|Samarinda
76019,B******* H****** R*****,3|Belitung|Bed & breakfast|Sijuk
83213,A**** H****** H****,3|Bali|Hotel|Sanur
72884,d*********** A****** J****** T******* 3 W******* C*****,3|Jakarta|Hotel|Jakarta
74050,M******* H**** P**** B*** (******** R** P***** J****** P**** B****,2|Jakarta|Hotel|Pasar Baru/Pecenongan/Juanda/Gunung Sahari - Central Jakarta
69759,N** S**** B*********,0|Banyuwangi|Hotel|Banyuwangi
85293,R******* n*** T**** M**** P******* T*****,2|Palu|Guest House|Palu
78041,O** 1*** U*** R********,2|Semarang|Guest House|Gayamsari
76971,O** 1*** H**** S******,2|Yogyakarta|Bed & breakfast|Ngampilan
84611,C****** O 2*** H**** H****,2|Balikpapan|Hotel|Balikpapan
78300,S*** V*** H****,4|Solo City|Hotel|Laweyan
85792,O** 2*** H**** B******* H****,2|Ambon|Hotel|Ambon
75794,V**** R********** By Z***,2|Bandung|Villa|Dago
80764,S** S***** S***,3|Bali|Hotel|Denpasar
85697,Y*** R*****,3|Minahasa|Hotel|Minahasa
