id,name,features
74024,O** 2*** K****** R********,2|Jakarta|Hotel|Pasar Baru/Pecenongan/Juanda/Gunung Sahari - Central Jakarta
74048,A*** S****** M****** C** M***** 9 J******,0|Jakarta|Hotel|Jakarta
74062,L***** I**** H****,3|Jakarta|Hotel|Jakarta
74071,O** 1** O***** K***,2|Jakarta|Hotel|Sawah Besar
74083,P******** P**** K******* J******,3|Jakarta|Hotel|Tebet/Casablanca/Manggarai - South Jakarta
74093,O** 3*** W**** Y**** S*******,2|Jakarta|Bed & breakfast|pasar minggu
74116,D**** N****** H****,2|Jakarta|Hotel|Cikini/Menteng - Central Jakarta
74123,S*** ON 3*** W**** P****** S******,2|Depok|Hotel|beji
74140,D*** R******** - M******,3|Jakarta|Hotel|Menteng
74145,K****** E** H**** J******,2|Jakarta|Hotel|Kemayoran - Central Jakarta
74155,H***** H**** & C********* C******* C*** M*** B****,4|Bogor|Hotel|Bogor
